class_id,class_name,support,predicted,precision,recall,f1
293,Placing piece on stack,0,0,0.0,0.0,0.0
294,Walk across office,0,0,0.0,0.0,0.0
295,Cut cardboard into triangles,0,0,0.0,0.0,0.0
296,Cut cardboard shape,0,4,0.0,0.0,0.0
297,Reach for and pick up smartphone,0,4,0.0,0.0,0.0
298,Pick up cardboard cutout,0,9,0.0,0.0,0.0
299,Walk with cardboard cutout,0,1,0.0,0.0,0.0
300,Finish placing cardboard cutouts,0,0,0.0,0.0,0.0
301,Approach workstation,0,0,0.0,0.0,0.0
302,Organize tools and materials,0,0,0.0,0.0,0.0
303,Cut cardboard triangle,0,0,0.0,0.0,0.0
304,Holding marker,0,0,0.0,0.0,0.0
305,Position utility knife,0,7,0.0,0.0,0.0
306,Reposition utility knife,0,33,0.0,0.0,0.0
307,Lift utility knife,0,0,0.0,0.0,0.0
308,Fold cut cardboard,0,2,0.0,0.0,0.0
309,Look away,0,1,0.0,0.0,0.0
310,Resume cutting cardboard,0,1,0.0,0.0,0.0
311,Inspect cardboard piece,0,0,0.0,0.0,0.0
312,Position cardboard piece,0,1,0.0,0.0,0.0
313,Align scissors,0,3,0.0,0.0,0.0
314,Cut cardboard strip,0,0,0.0,0.0,0.0
315,Move cardboard piece,0,12,0.0,0.0,0.0
316,Hold cardboard strip,0,0,0.0,0.0,0.0
317,Position cardboard strip,0,0,0.0,0.0,0.0
318,Inspect cardboard strip,0,0,0.0,0.0,0.0
319,Pick up cut cardboard piece,0,3,0.0,0.0,0.0
320,Move cardboard to pile,0,1,0.0,0.0,0.0
321,Pick up cardboard,0,0,0.0,0.0,0.0
322,Reposition scissors,0,0,0.0,0.0,0.0
323,Hold cardboard piece,16,0,0.0,0.0,0.0
324,Align cardboard piece,0,0,0.0,0.0,0.0
325,Fold cardboard sheet,0,0,0.0,0.0,0.0
326,Complete the cut,0,3,0.0,0.0,0.0
327,Put down utility knife,0,2,0.0,0.0,0.0
328,Fold cardboard,0,0,0.0,0.0,0.0
329,Pick up utility knife,18,0,0.0,0.0,0.0
330,Hold utility knife,0,0,0.0,0.0,0.0
331,Pick up cardboard strip,0,2,0.0,0.0,0.0
332,Place cardboard strip,0,3,0.0,0.0,0.0
333,Place cans into box,0,0,0.0,0.0,0.0
334,Arrange cans in box,0,1,0.0,0.0,0.0
335,Pick up can,12,0,0.0,0.0,0.0
336,Reach for can,0,0,0.0,0.0,0.0
337,Arrange cans on shelf,0,2,0.0,0.0,0.0
338,Reach for additional items,0,3,0.0,0.0,0.0
339,Reach for container,0,5,0.0,0.0,0.0
340,Adjust position,0,1,0.0,0.0,0.0
341,Prepare to pick up item,0,0,0.0,0.0,0.0
342,Place container in bin,0,1,0.0,0.0,0.0
343,Adjust cans in bin,0,0,0.0,0.0,0.0
344,Hold and inspect can,0,2,0.0,0.0,0.0
345,Adjust perspective,0,0,0.0,0.0,0.0
346,Inspect shelf and organize stock,0,0,0.0,0.0,0.0
347,Picking up stock,0,1,0.0,0.0,0.0
348,Placing stock on shelf,0,11,0.0,0.0,0.0
349,Hold small product bag,0,11,0.0,0.0,0.0
350,Reach for shelving divider,0,4,0.0,0.0,0.0
351,Position shelving divider,0,2,0.0,0.0,0.0
352,Move away from shelf,0,0,0.0,0.0,0.0
353,Pick up container,0,3,0.0,0.0,0.0
354,Carry container,0,3,0.0,0.0,0.0
355,Rearrange shelf item,0,5,0.0,0.0,0.0
356,Pick up cleaning cloth,0,5,0.0,0.0,0.0
357,Pick up product box,0,12,0.0,0.0,0.0
358,Place box on shelf,0,7,0.0,0.0,0.0
359,Place plush toy on shelf,0,3,0.0,0.0,0.0
360,Adjust placement on shelf,0,3,0.0,0.0,0.0
361,Move plush toy,0,2,0.0,0.0,0.0
362,Reach for product on shelf,0,0,0.0,0.0,0.0
363,Arrange cardboard,0,1,0.0,0.0,0.0
364,Place marker down,0,0,0.0,0.0,0.0
365,Pick up marker,0,2,0.0,0.0,0.0
366,Walk with marker,0,0,0.0,0.0,0.0
367,Pick up small object,0,0,0.0,0.0,0.0
368,Walk across room,0,2,0.0,0.0,0.0
369,Place cardboard square on stack,0,0,0.0,0.0,0.0
370,Arrange cardboard squares,0,0,0.0,0.0,0.0
371,Stacking cardboard squares,0,0,0.0,0.0,0.0
372,Positioning cardboard on workspace,0,0,0.0,0.0,0.0
373,Stacking cardboard square,0,0,0.0,0.0,0.0
374,Stack cardboard square,0,0,0.0,0.0,0.0
375,Stack cardboard squares,0,0,0.0,0.0,0.0
376,Sorting paper stars,0,0,0.0,0.0,0.0
377,Place star,0,0,0.0,0.0,0.0
378,Sort paper star,0,8,0.0,0.0,0.0
379,Sort paper stars,0,46,0.0,0.0,0.0
380,Place paper star,0,0,0.0,0.0,0.0
381,Stop sorting stars,0,0,0.0,0.0,0.0
382,Walk away,0,0,0.0,0.0,0.0
